name,ra,dec,vmag
アリオト,13 23 55.4198,+54 55 31.495,2.23
HIP 65477,13 25 13.4156,+54 59 16.796,3.99
HIP 13268,02 50 41.7928,+55 53 43.906,3.77
ミザール,12 54 01.6330,+55 57 35.435,1.76
メラク,11 01 50.3908,+56 22 56.441,2.34
シェダル,00 40 30.3872,+56 32 14.673,2.24
HIP 87585,17 53 31.6295,+56 52 20.828,3.73
HIP 59774,12 15 25.4491,+57 01 57.353,3.32
HIP 3821,00 49 05.1006,+57 48 59.572,3.46
HIP 109492,22 10 51.2619,+58 12 04.500,3.39
HIP 75458,15 24 55.7841,+58 57 57.685,3.29
HIP 48319,09 50 59.6917,+59 02 20.776,3.78
HIP 746,00 09 10.0897,+59 09 00.785,2.28
HIP 6686,01 25 48.6030,+60 14 07.452,2.66
カフ,00 56 42.5011,+60 43 00.299,2.15
HIP 41704,08 30 16.0302,+60 43 06.352,3.35
HIP 80331,16 23 59.5069,+61 30 50.671,2.73
ドゥーベ,11 03 43.8369,+61 45 04.028,1.81
HIP 102422,20 45 17.2686,+61 50 12.459,3.41
HIP 105199,21 18 34.5816,+62 35 07.639,2.45
HIP 46733,09 31 31.5697,+63 03 42.464,3.65
HIP 8886,01 54 23.6835,+63 40 12.529,3.35
HIP 68756,14 04 23.4260,+64 22 32.911,3.67
HIP 83895,17 08 47.2251,+65 42 52.692,3.17
HIP 112724,22 49 40.9122,+66 12 02.559,3.50
HIP 94376,19 12 33.1550,+67 39 40.741,3.07
HIP 56211,11 31 24.2885,+69 19 52.038,3.82
HIP 61281,12 33 29.0425,+69 47 17.556,3.85
HIP 97433,19 48 10.2136,+70 16 04.207,3.84
HIP 106032,21 28 39.5750,+70 33 38.501,3.23
HIP 75097,15 20 43.7492,+71 50 02.303,3.00
HIP 9598,02 03 26.1903,+72 25 16.463,3.95
HIP 89937,18 21 02.3390,+72 44 01.311,3.55
HIP 72607,14 50 42.3954,+74 09 19.713,2.07
HIP 116727,23 39 20.9820,+77 37 55.081,3.21
ポラリス,02 31 47.0753,+89 15 50.897,1.97
```
